Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)

0.00,0.00,3.00,0.38,0.76,0.0000,0.00,-0.12
0.23,0.69,3.00,0.46,0.76,-0.0089,-0.51,-0.11
0.32,0.97,3.00,0.54,0.76,-0.0174,-1.00,-0.10
0.40,1.19,3.00,0.62,0.76,-0.0254,-1.45,-0.10
0.46,1.37,3.00,0.70,0.76,-0.0330,-1.89,-0.09
0.51,1.54,3.00,0.77,0.75,-0.0402,-2.30,-0.09
0.56,1.68,3.00,0.85,0.75,-0.0469,-2.69,-0.08
0.61,1.82,3.00,0.93,0.75,-0.0533,-3.05,-0.08
0.65,1.94,3.00,1.01,0.74,-0.0592,-3.39,-0.07
0.69,2.06,3.00,1.09,0.74,-0.0648,-3.71,-0.07
0.72,2.17,3.00,1.17,0.73,-0.0699,-4.01,-0.06
0.76,2.28,3.00,1.25,0.73,-0.0747,-4.28,-0.06
0.79,2.38,3.00,1.32,0.72,-0.0790,-4.53,-0.05
0.83,2.48,3.00,1.40,0.71,-0.0830,-4.76,-0.05
0.86,2.57,3.00,1.48,0.71,-0.0866,-4.96,-0.04
0.89,2.66,3.00,1.56,0.70,-0.0898,-5.15,-0.04
0.92,2.75,3.00,1.64,0.69,-0.0927,-5.31,-0.03
0.94,2.83,3.00,1.71,0.69,-0.0951,-5.45,-0.03
0.97,2.91,3.00,1.79,0.68,-0.0972,-5.57,-0.02
1.00,2.99,3.00,1.87,0.67,-0.0988,-5.66,-0.02
1.02,3.06,3.00,1.94,0.66,-0.1001,-5.74,-0.01
1.05,3.14,3.00,2.02,0.66,-0.1010,-5.79,-0.01
1.07,3.21,3.00,2.09,0.65,-0.1015,-5.81,-0.00
1.09,3.28,3.00,2.17,0.64,-0.1016,-5.82,0.00
1.12,3.35,3.00,2.24,0.63,-0.1012,-5.80,0.01
1.14,3.41,3.00,2.32,0.63,-0.1004,-5.75,0.01
1.16,3.48,3.00,2.39,0.62,-0.0992,-5.69,0.02
1.18,3.54,3.00,2.46,0.61,-0.0976,-5.59,0.03
1.20,3.60,3.00,2.53,0.60,-0.0955,-5.47,0.03
1.22,3.66,3.00,2.61,0.60,-0.0929,-5.32,0.04
1.24,3.72,3.00,2.68,0.59,-0.0899,-5.15,0.05
1.26,3.78,3.00,2.75,0.58,-0.0863,-4.95,0.05
1.28,3.83,3.00,2.82,0.58,-0.0823,-4.71,0.06
1.29,3.88,3.00,2.89,0.57,-0.0777,-4.45,0.07
1.31,3.94,3.00,2.96,0.57,-0.0725,-4.15,0.08
1.33,3.99,3.00,3.02,0.56,-0.0667,-3.82,0.09
1.35,4.04,3.00,3.09,0.56,-0.0604,-3.46,0.10
1.36,4.09,3.00,3.16,0.55,-0.0534,-3.06,0.11
1.38,4.14,3.00,3.22,0.55,-0.0457,-2.62,0.12
1.39,4.18,0.30,3.29,0.55,-0.0374,-2.14,0.14
1.41,4.19,-3.00,3.35,0.55,-0.0282,-1.62,0.15
1.44,4.10,-3.00,3.48,0.54,-0.0076,-0.44,0.18
1.47,4.01,-3.00,3.60,0.54,0.0165,0.94,0.22
1.50,3.92,-3.00,3.72,0.55,0.0445,2.55,0.26
1.53,3.83,-3.00,3.83,0.56,0.0770,4.41,0.31
1.56,3.74,-3.00,3.94,0.57,0.1144,6.55,0.37
1.59,3.66,-3.00,4.05,0.58,0.1574,9.02,0.44
1.61,3.57,-3.00,4.15,0.60,0.2068,11.85,0.53
1.64,3.49,-3.00,4.24,0.62,0.2632,15.08,0.62
1.67,3.41,-3.00,4.33,0.65,0.3272,18.75,0.73
1.70,3.32,-3.00,4.42,0.68,0.3996,22.89,0.85
1.72,3.24,-3.00,4.50,0.72,0.4805,27.53,0.98
1.74,3.20,-3.00,4.54,0.74,0.5241,30.03,1.04
1.75,3.16,-0.32,4.57,0.76,0.5699,32.65,1.10
1.76,3.16,0.28,4.61,0.79,0.6163,35.31,1.10
1.78,3.16,0.87,4.64,0.81,0.6621,37.94,1.09
1.79,3.17,1.43,4.67,0.84,0.7072,40.52,1.07
1.80,3.19,2.18,4.70,0.86,0.7512,43.04,1.05
1.83,3.25,3.00,4.76,0.92,0.8356,47.88,0.99
1.86,3.32,3.00,4.82,0.99,0.9145,52.40,0.91
1.88,3.40,3.00,4.86,1.06,0.9873,56.57,0.83
1.90,3.47,3.00,4.91,1.13,1.0538,60.38,0.75
1.93,3.54,1.39,4.95,1.20,1.1140,63.83,0.67
1.95,3.58,-3.00,4.98,1.28,1.1681,66.93,0.59
1.98,3.50,-3.00,5.01,1.36,1.2166,69.71,0.52
2.00,3.43,-3.00,5.04,1.44,1.2598,72.18,0.46
2.03,3.35,-3.00,5.07,1.53,1.2980,74.37,0.40
2.06,3.27,-3.00,5.09,1.61,1.3317,76.30,0.35
2.08,3.19,-3.00,5.11,1.70,1.3613,78.00,0.31
2.11,3.10,-3.00,5.13,1.79,1.3870,79.47,0.27
2.14,3.01,-3.00,5.14,1.88,1.4091,80.73,0.23
2.17,2.92,-3.00,5.16,1.97,1.4278,81.80,0.19
2.20,2.83,-3.00,5.17,2.05,1.4432,82.69,0.16
2.23,2.73,-3.00,5.18,2.14,1.4554,83.39,0.12
2.27,2.64,-3.00,5.19,2.23,1.4645,83.91,0.09
2.30,2.54,-3.00,5.20,2.31,1.4703,84.24,0.05
2.33,2.44,-3.00,5.21,2.39,1.4728,84.38,0.01
2.36,2.34,-3.00,5.21,2.47,1.4716,84.32,-0.04
2.40,2.24,-3.00,5.22,2.55,1.4664,84.02,-0.10
2.43,2.14,-3.00,5.23,2.62,1.4565,83.45,-0.17
2.47,2.04,-3.00,5.24,2.69,1.4413,82.58,-0.27
2.50,1.94,-3.00,5.25,2.76,1.4194,81.33,-0.40
2.56,1.74,-3.00,5.27,2.88,1.3484,77.26,-0.85
2.60,1.65,-3.00,5.28,2.93,1.2934,74.11,-1.25
2.63,1.56,-3.00,5.30,2.97,1.2191,69.85,-1.87
2.64,1.51,-3.00,5.31,2.99,1.1725,67.18,-2.30
2.66,1.47,-3.00,5.31,3.01,1.1182,64.07,-2.84
2.67,1.43,-3.00,5.32,3.03,1.0548,60.44,-3.51
2.68,1.39,-3.00,5.33,3.05,0.9809,56.20,-4.32
2.70,1.35,-3.00,5.34,3.06,0.8977,51.43,-4.97
2.70,1.33,-3.00,5.35,3.07,0.8534,48.90,-5.29
2.71,1.31,-3.00,5.36,3.08,0.8075,46.27,-5.60
2.71,1.29,-3.00,5.36,3.08,0.7601,43.55,-5.89
2.72,1.27,-3.00,5.37,3.09,0.7114,40.76,-6.16
2.73,1.25,-3.00,5.37,3.09,0.6615,37.90,-6.39
2.73,1.23,-2.53,5.38,3.10,0.6108,34.99,-6.58
2.74,1.22,-1.21,5.39,3.10,0.5594,32.05,-6.71
2.75,1.21,0.12,5.39,3.10,0.5076,29.08,-6.79
2.75,1.21,1.46,5.40,3.11,0.4558,26.11,-6.81
2.76,1.22,2.84,5.41,3.11,0.4042,23.16,-6.78
2.77,1.24,3.00,5.41,3.11,0.3532,20.24,-6.69
2.77,1.26,3.00,5.42,3.12,0.3030,17.36,-6.54
2.78,1.27,3.00,5.43,3.12,0.2539,14.54,-6.35
2.78,1.29,3.00,5.44,3.12,0.2060,11.80,-6.12
2.79,1.31,3.00,5.44,3.12,0.1596,9.15,-5.86
2.80,1.33,3.00,5.45,3.12,0.1149,6.58,-5.58
2.81,1.36,3.00,5.47,3.12,0.0306,1.76,-4.98
2.82,1.40,3.00,5.48,3.12,-0.0462,-2.65,-4.37
2.83,1.43,3.00,5.50,3.12,-0.1157,-6.63,-3.80
2.84,1.47,3.00,5.52,3.12,-0.1781,-10.20,-3.27
2.86,1.51,3.00,5.54,3.12,-0.2338,-13.40,-2.80
2.87,1.55,3.00,5.55,3.11,-0.2835,-16.24,-2.40
2.88,1.58,3.00,5.57,3.10,-0.3277,-18.77,-2.05
2.91,1.66,3.00,5.61,3.09,-0.4019,-23.03,-1.50
2.93,1.74,3.00,5.65,3.07,-0.4607,-26.39,-1.11
2.99,1.91,3.00,5.74,3.02,-0.5441,-31.17,-0.62
3.04,2.08,3.00,5.84,2.96,-0.5959,-34.14,-0.34
3.10,2.24,3.00,5.94,2.89,-0.6262,-35.88,-0.17
3.13,2.33,3.00,5.99,2.85,-0.6352,-36.39,-0.11
3.16,2.41,3.00,6.04,2.81,-0.6407,-36.71,-0.06
3.18,2.49,3.00,6.09,2.77,-0.6430,-36.84,-0.01
3.21,2.58,3.00,6.15,2.73,-0.6424,-36.81,0.03
3.24,2.66,3.00,6.21,2.69,-0.6390,-36.61,0.07
3.26,2.73,3.00,6.26,2.65,-0.6329,-36.26,0.11
3.29,2.81,3.00,6.32,2.61,-0.6241,-35.76,0.14
3.31,2.89,3.00,6.38,2.57,-0.6125,-35.10,0.18
3.34,2.96,3.00,6.44,2.53,-0.5981,-34.27,0.22
3.36,3.03,3.00,6.50,2.49,-0.5807,-33.27,0.27
3.39,3.10,3.00,6.56,2.45,-0.5601,-32.09,0.31
3.41,3.17,3.00,6.62,2.41,-0.5360,-30.71,0.37
3.43,3.23,3.00,6.68,2.38,-0.5082,-29.12,0.43
3.45,3.30,3.00,6.74,2.34,-0.4762,-27.29,0.50
3.47,3.36,3.00,6.80,2.31,-0.4397,-25.19,0.58
3.49,3.42,3.00,6.86,2.29,-0.3981,-22.81,0.67
3.51,3.47,0.89,6.92,2.26,-0.3540,-20.28,0.68
3.53,3.49,-3.00,6.98,2.24,-0.3103,-17.78,0.68
3.57,3.38,-3.00,7.10,2.21,-0.2258,-12.94,0.66
3.60,3.27,-3.00,7.22,2.18,-0.1475,-8.45,0.60
3.64,3.15,-3.00,7.34,2.17,-0.0776,-4.45,0.53
3.68,3.03,-3.00,7.47,2.17,-0.0176,-1.01,0.44
3.72,2.91,-3.00,7.59,2.17,0.0317,1.81,0.35
3.77,2.77,-3.00,7.72,2.17,0.0701,4.02,0.26
3.79,2.70,-3.00,7.78,2.18,0.0853,4.89,0.21
3.82,2.63,-3.00,7.85,2.18,0.0978,5.60,0.17
3.84,2.55,-3.00,7.91,2.19,0.1078,6.17,0.13
3.87,2.47,-3.00,7.98,2.20,0.1152,6.60,0.09
3.90,2.39,-3.00,8.05,2.21,0.1202,6.89,0.06
3.92,2.30,-3.00,8.11,2.21,0.1229,7.04,0.02
3.95,2.21,-3.00,8.18,2.22,0.1232,7.06,-0.01
3.99,2.12,-3.00,8.25,2.23,0.1214,6.96,-0.04
4.02,2.01,-3.00,8.32,2.24,0.1175,6.73,-0.07
4.06,1.91,-3.00,8.39,2.25,0.1115,6.39,-0.10
4.10,1.79,-3.00,8.46,2.26,0.1035,5.93,-0.12
4.14,1.66,-3.00,8.54,2.26,0.0936,5.37,-0.15
4.18,1.52,-3.00,8.61,2.27,0.0820,4.70,-0.17
4.24,1.37,-3.00,8.69,2.27,0.0687,3.93,-0.19
4.30,1.19,-3.00,8.76,2.28,0.0537,3.08,-0.21
4.37,0.97,-3.00,8.84,2.28,0.0372,2.13,-0.22
4.46,0.69,-3.00,8.92,2.29,0.0193,1.10,-0.24
4.69,0.00,-3.00,9.00,2.29,-0.0000,-0.00,-0.25
